505.77,1
573.08,0
525,1
378.85,1
186.54,1
517.31,1
413.46,0
369.23,1
226.92,1
442.31,1
242.31,0
492.31,0
348.08,1
NaN,0
503.85,1
459.62,0
617.31,1
569.23,1
438.46,1
503.85,1
482.69,1
232.69,0
165.38,0
NaN,0
594.23,1
484.62,1
438.46,1
496.15,1
519.23,1
450,1
763.46,0
186.54,0
401.92,0
413.46,1
196.15,0
467.31,1
453.85,0
455.77,1
496.15,1
NaN,0
432.69,1
550,0
398.08,1
501.92,1
163.46,0
513.46,1
388.46,1
469.23,1
500,1
157.69,0
440.38,1
444.23,1
473.08,0
459.62,0
450,1
571.15,1
471.15,1
365.38,0
NaN,0
363.46,0
417.31,0
415.38,1
NaN,0
250,0
444.23,1
348.08,0
425,1
521.15,1
465.38,1
NaN,0
142.31,0
519.23,1
346.15,1
557.69,0
671.15,1
225,0
451.92,1
384.62,0
336.54,1
373.08,0
326.92,1
NaN,0
463.46,1
465.38,1
407.69,1
346.15,1
413.46,0
332.69,0
NaN,0
496.15,1
532.69,1
NaN,0
417.31,1
405.77,0
NaN,0
-3.8462,0
442.31,1
150,0
494.23,1
361.54,0
463.46,1
417.31,0
321.15,1
257.69,1
155.77,0
461.54,1
313.46,0
388.46,1
325,0
403.85,0
419.23,0
334.62,1
490.38,0
163.46,1
390.38,1
434.62,1
400,1
484.62,1
471.15,1
463.46,1
734.62,1
392.31,1
475,1
353.85,1
494.23,1
494.23,1
371.15,1
211.54,0
411.54,1
217.31,0
519.23,0
367.31,0
196.15,0
188.46,0
386.54,1
378.85,0
NaN,0
496.15,1
419.23,1
340.38,0
NaN,0
NaN,0
NaN,0
498.08,0
357.69,0
330.77,0
373.08,1
488.46,1
440.38,0
132.69,0
392.31,0
425,1
86.538,0
382.69,0
351.92,1
-11.538,0
432.69,0
NaN,0
NaN,0
132.69,0
463.46,1
430.77,1
413.46,1
375,0
350,1
388.46,1
365.38,1
188.46,0
363.46,0
55.769,0
434.62,1
-11.538,0
392.31,0
448.08,1
384.62,1
563.46,1
521.15,0
573.08,1
80.769,1
375,1
